project;mergecommit;leftcommit;basecommit;rightcommit;ssmergeconfs;unmergeconfs
https://github.com/cgeo/cgeo;c0d0aadb058ef60bc6754687945e6d6c7b2e833b;11e2740b5;269c703a5e01b1ecad4aec6a762d5485b87d781a;3545781eb;0;1
https://github.com/cgeo/cgeo;8a1e0638b1c86687bd53507721b452b5c2d91480;4837e012b;3b1152f21831de15d0aeab18002a93ff81ac80a8;61c246f08;1;0
https://github.com/cgeo/cgeo;c6517f17006066361acfc6fb2b9473bf8a5de798;aa5686edf;3b1152f21831de15d0aeab18002a93ff81ac80a8;d6ceb750b;1;0
https://github.com/cgeo/cgeo;877fb48415b44bf84542303d8c1cd2dd96bb02a5;2a6c5e7e4;61c246f08321e7de4f4c8928dfdd64c390e90e78;c6517f170;1;0
https://github.com/cgeo/cgeo;1e1f710ed3a6f7a47b6d3aedcb8a6602b07eba4b;8d21658c7;454da7c61fe74343279945408d61bb7db31f7082;a93e3e45c;1;0
https://github.com/cgeo/cgeo;b5be8bc2a5c7c7776cf8d3aaa8f5816eaf8c4ec8;ab7740274;8d21658c7e5ef9ff59c5788d893dd60d1cbff172;1e1f710ed;1;0
https://github.com/cgeo/cgeo;eca1e9ec31ca0165e4b0bb7ca4c2b989efe16fee;f94d1d66f;5878215750b36147e31d4e44d39f5cee5a686a24;10b3f8f05;1;0
https://github.com/cgeo/cgeo;d01ff869025c5d83f438f04fca6bbf19bbfc5ce5;820ba2f83;edde91aef1455f0a7650933c68f7289d0d72bac7;09dd423be;1;0
https://github.com/cgeo/cgeo;be50caca713f79eb8ef98612f09064a14d29d181;d01ff8690;09dd423be6c182d434aa3e20330ee1866a0b0aef;7a42a1ef5;1;0
https://github.com/cgeo/cgeo;e463efd6582c62cfaf078d5bb8bb673dd843d499;7ea26b81f;8533fd50866694fb29a4b5caaf91852789eed5c8;324ab972d;1;0
https://github.com/cgeo/cgeo;5a4d6426e867ac596ded6673627c869fff5fce7d;3fc1569b8;cd8ec1b3a39d4116aa1f3468d3dabd0da36296bf;b6b0c7f4d;1;0
https://github.com/cgeo/cgeo;0769780cf33c3268a5ee8f65b98155fd58589a46;a221f3a6a;0b0106e00af4ca9d99bf2ed00948e78fc7b36689;76cfcebc2;4;0
https://github.com/cgeo/cgeo;fef3e83bc8ba7663669591c59d9a662530de94ae;6d13ce676;b2d7a2b2c80ad45eac36549c9a486678b40241f6;bb755ff6b;0;1
https://github.com/cgeo/cgeo;135d0a034c1fe780e2de56b591c3c2ed36169439;8914bda79;925f3f6177d81de33cb231ac2afb91138df04cbb;b2354d78e;2;0
https://github.com/cgeo/cgeo;f8d5547a2ae2d111508d7231c4a3f176dd4a17bd;fe477dabd;217949c71a751c0744497c28e42ecd6007cb0de3;7a7fbfb8b;1;0
https://github.com/cgeo/cgeo;ffa2e166ba13c9cace1a6a0fc98d210b42ca37b1;c8336a554;58ff855100a554c1be254012f055ed2a0dc7de39;4fb870a5d;0;1
https://github.com/cgeo/cgeo;8449a5359f0e554ddd962167cff91e20e21cf4bb;a268af51b;884a60814d1a72ca30e9e9b0e31d59e895b2aca0;ea13018cc;3;0
https://github.com/cgeo/cgeo;f9474aa841400850c6d676f33bd03672345d4c03;cd03c1b91;f86fa7a33393cd4ce2c7eff72479775b37dfeff3;eb15dddf8;0;1
https://github.com/cgeo/cgeo;5fcce648e200669f1ae0875c7aea9dc3a4a37574;6b2972bfd;496878826d638367c129b02e66f992202e0d36c9;786eccacb;0;1
https://github.com/cgeo/cgeo;83d1c9eb79d8422506e6e1c4a1102df6f9f6f4c8;a980d78f5;1da80caa52fbb6a66db92c93298cf34390ac3676;43c103133;1;0
https://github.com/cgeo/cgeo;dd6abd1628e020070d1366691ac69f6601304b35;686151a7f;6f4f2209dae88e058d2ea0508b91478bdfcac3c9;c467e0369;1;0
https://github.com/cgeo/cgeo;e0af4b72b8a18d19bcc968b5af36260fa868b52f;dd6abd162;1c5b66f3b05f9d1e02a878951c0e8763997a12de;c26996a4b;1;0
https://github.com/cgeo/cgeo;7fdea417f1813375b09234114ce540f2b24e0701;cfc1225eb;71ed1f870957f5f626d4c54ea8c366665db1b812;7de0bd382;0;1
